Name (English),Type,Ownership,Region,IEQAS Degree Certified,IEQAS Excellent Tier,IEQAS Korean Language Certified,Notes
Busan Digital University,Cyber/Distance University,Private,Busan,,,,
Hwashin Cyber University,Cyber/Distance University,Private,Busan,,,,
Korea Welfare Cyber College,Cyber/Distance University,Private,Daegu,,,,2-year cyber college
Yeungjin Cyber College,Cyber/Distance University,Private,Daegu,,,,2-year cyber college
Gukje Cyber University,Cyber/Distance University,Private,Gyeonggi,,,,
World Cyber College,Cyber/Distance University,Private,Gyeonggi,,,,2-year cyber college (Yeoju)
Daegu Cyber University,Cyber/Distance University,Private,North Gyeongsang,,,,
Wonkwang Digital University,Cyber/Distance University,Private,North Jeolla,,,,
Cyber Hankuk University of Foreign Studies,Cyber/Distance University,Private,Seoul,,,,
Cyber University of Korea,Cyber/Distance University,Private,Seoul,,,,
Digital Seoul Culture Arts University,Cyber/Distance University,Private,Seoul,,,,
Global Cyber University,Cyber/Distance University,Private,Seoul,,,,
Hanyang Cyber University,Cyber/Distance University,Private,Seoul,,,,
Korea National Open University,Cyber/Distance University,National,Seoul,,,,National open/distance university (KNOU)
Korea Soongsil Cyber University,Cyber/Distance University,Private,Seoul,,,,
Kyung Hee Cyber University,Cyber/Distance University,Private,Seoul,,,,
Open Cyber University,Cyber/Distance University,Private,Seoul,,,,
Sejong Cyber University,Cyber/Distance University,Private,Seoul,,,,
Seoul Cyber University,Cyber/Distance University,Private,Seoul,,,,
Seoul Digital University,Cyber/Distance University,Private,Seoul,,,,
Busan National University of Education,Education University,National,Busan,,,,Primary-teacher training
Daegu National University of Education,Education University,National,Daegu,,,,Primary-teacher training
Chuncheon National University of Education,Education University,National,Gangwon,,,,Primary-teacher training
Gwangju National University of Education,Education University,National,Gwangju,,,,Primary-teacher training
Gyeongin National University of Education,Education University,National,Incheon,,,,Primary-teacher training
Cheongju National University of Education,Education University,National,North Chungcheong,,,,Primary-teacher training
Jeonju National University of Education,Education University,National,North Jeolla,,,,Primary-teacher training
Seoul National University of Education,Education University,National,Seoul,,,,Primary-teacher training
Gongju National University of Education,Education University,National,South Chungcheong,,,,Primary-teacher training
Chinju National University of Education,Education University,National,South Gyeongsang,,,,Primary-teacher training
University of Science and Technology (UST),Graduate School only,National,Daejeon,Yes,Yes,,Campuses at government research institutes
Cheongshim Graduate School of Theology,Graduate School only,Private,Gyeonggi,,,,
Daehan Theological Graduate University,Graduate School only,Private,Gyeonggi,,,,
Graduate School of Korean Studies (Academy of Korean Studies),Graduate School only,National,Gyeonggi,Yes,,,
Graduate School of Practical Theology,Graduate School only,Private,Gyeonggi,,,,
Hapdong Theological Seminary,Graduate School only,Private,Gyeonggi,,,,
Kyeyak Graduate School of Theology,Graduate School only,Private,Gyeonggi,,,,
National Cancer Center Graduate School of Cancer Science and Policy,Graduate School only,National,Gyeonggi,Yes,Yes,,Goyang
Onseok University,Graduate School only,Private,Gyeonggi,Yes,,,Yongin
Sunhak Universal Peace Graduate University,Graduate School only,Private,Gyeonggi,Yes,,Yes,Gapyeong
Westminster Graduate School of Theology,Graduate School only,Private,Gyeonggi,,,,
Sungsan Hyodo Graduate School,Graduate School only,Private,Incheon,,,,
Won Buddhism Graduate School,Graduate School only,Private,North Jeolla,,,,
KDI School of Public Policy and Management,Graduate School only,National,Sejong,Yes,Yes,,
Berea International Theological Graduate University,Graduate School only,Private,Seoul,,,,
Dongbang Culture Graduate University,Graduate School only,Private,Seoul,Yes,,,
Gukje Theological Graduate University,Graduate School only,Private,Seoul,,,,
International Graduate School of Language Education,Graduate School only,Private,Seoul,Yes,,Yes,Formerly International Graduate School of English (IGSE)
Korea Counseling Graduate University,Graduate School only,Private,Seoul,,,,
Reformed Graduate University,Graduate School only,Private,Seoul,Yes,Yes,,
Seoul Bible Graduate School of Theology,Graduate School only,Private,Seoul,,,,
Seoul Media Institute of Technology,Graduate School only,Private,Seoul,Yes,,,SMIT
Seoul School of Integrated Sciences and Technologies (aSSIST),Graduate School only,Private,Seoul,Yes,,,IEQAS-listed as aSSIST University
Seoul University of Foreign Studies,Graduate School only,Private,Seoul,Yes,,,
Sudo International University,Graduate School only,Private,Seoul,Yes,,,
Torch Trinity Graduate University,Graduate School only,Private,Seoul,Yes,,,
Yaeil Theological Graduate University,Graduate School only,Private,Seoul,,,,
Yemyung Graduate University,Graduate School only,Private,Seoul,Yes,,,
University of Brain Education,Graduate School only,Private,South Chungcheong,,,,
KEPCO International Nuclear Graduate School,Graduate School only,Private,Ulsan,Yes,Yes,,KINGS; KEPCO-funded
Busan Arts College,Junior College,Private,Busan,,,,
Busan Institute of Science and Technology,Junior College,Private,Busan,Yes,,Yes,
Busan Kyungsang College,Junior College,Private,Busan,,,,
Busan Women's College,Junior College,Private,Busan,,,,
Daedong College,Junior College,Private,Busan,,,,
Dong-Eui Institute of Technology,Junior College,Private,Busan,Yes,,Yes,
Dongju College,Junior College,Private,Busan,,,,
Kyungnam College of Information and Technology,Junior College,Private,Busan,Yes,,Yes,
Daegu Health College,Junior College,Private,Daegu,,,,
Daegu Technical University,Junior College,Private,Daegu,,,,
Keimyung College University,Junior College,Private,Daegu,Yes,,,
Suseong College,Junior College,Private,Daegu,,,,
Taegu Science University,Junior College,Private,Daegu,,,,
Yeungjin University College,Junior College,Private,Daegu,Yes,,Yes,
Yeungnam University College,Junior College,Private,Daegu,Yes,,Yes,
Daeduk University,Junior College,Private,Daejeon,,,,
Daejeon Health Institute of Technology,Junior College,Private,Daejeon,,,,
Daejeon Institute of Science and Technology,Junior College,Private,Daejeon,,,,
Woosong Information College,Junior College,Private,Daejeon,,,,
Gangneung Yeongdong University,Junior College,Private,Gangwon,,,,
Gangwon State University,Junior College,Public,Gangwon,,,,Provincial college
Hallym Polytechnic University,Junior College,Private,Gangwon,,,,
Saekyung University,Junior College,Private,Gangwon,,,,
Songgok University,Junior College,Private,Gangwon,,,,
Songho University,Junior College,Private,Gangwon,,,,
