name_ko,name_en,url
가야대학교,Kaya University,https://kayaic.kaya.ac.kr/pages/foreign_student/guide_admission.jsp
가천대학교,Gachon University,https://admission.gachon.ac.kr/admission/html/main/main.asp
가톨릭관동대학교,Catholic Kwandong University,https://ipsi.cku.ac.kr/sites/iphak/index.do
가톨릭꽃동네대학교,Kkottongnae University,https://kkot.ac.kr
가톨릭대학교,Catholic University of Korea,https://www.catholic.ac.kr/ko/academics/adm_foreigner.do
가톨릭상지대학교,Catholic Sangji College,https://csj.ac.kr
감리교신학대학교,Methodist Theological University,https://www.mtu.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN147
강남대학교,Kangnam University,https://admission.kangnam.ac.kr/main.htm
강동대학교,Kangdong University,https://gangdong.ac.kr
강릉영동대학교,Gangneung Yeongdong University,https://gyu.ac.kr
강릉원주대학교,Gangneung-Wonju National University,https://iphak.gwnu.ac.kr/sites/iphak/index.do
강원관광대학교,Gangwon Tourism University,https://www.gtc.ac.kr/
강원대학교,Kangwon National University,https://admission.kangwon.ac.kr/admission/selectBbsNttList.do?bbsNo=373
강원도립대학교,Gangwon Provincial University,https://ipsi.gw.ac.kr/
개혁신학대학원대학교,Reformed Graduate University,https://rgu.ac.kr
거제대학교,Koje College,https://koje.ac.kr
건국대학교,Konkuk University,http://enter.konkuk.ac.kr/submenu.do?menuurl=k8b%2fCUaWlntKYwhT%2fh%2bKUA%3d%3d&
건국대학교 글로컬캠퍼스,Konkuk University (GLOCAL Campus),https://enter.kku.ac.kr/
건양대학교,Konyang University,https://www.konyang.ac.kr/prog/info/ipsi/sub03_01/foreigner/list.do
겐트대학교글로벌캠퍼스,Ghent University Global Campus,https://ghent.ac.kr
경기과학기술대학교,Gyeonggi University of Science and Technology,https://www.gtec.ac.kr/ipsi/index.do
경기대학교,Kyonggi University,https://www.kyonggi.ac.kr/international_kgu/contents.do?key=7538
경남대학교,Kyungnam University,https://ipsi.kyungnam.ac.kr/
